views	n_tweets	n_tweeted
1612	7	1045266
1613	7	1045273
1614	4	1045277
1615	5	1045282
1616	6	1045288
1617	9	1045297
1618	7	1045304
1619	5	1045309
1620	9	1045318
1621	4	1045322
1622	4	1045326
1623	2	1045328
1624	3	1045331
1625	9	1045340
1626	4	1045344
1627	4	1045348
1628	5	1045353
1629	8	1045361
1630	10	1045371
1631	4	1045375
1632	5	1045380
1633	7	1045387
1634	8	1045395
1635	8	1045403
1636	9	1045412
1637	4	1045416
1638	7	1045423
1639	3	1045426
1640	5	1045431
1641	12	1045443
1642	2	1045445
1643	4	1045449
1644	3	1045452
1645	3	1045455
1646	6	1045461
1647	9	1045470
1648	6	1045476
1649	4	1045480
1650	9	1045489
1651	5	1045494
1652	10	1045504
1653	9	1045513
1654	2	1045515
1655	3	1045518
1656	8	1045526
1657	8	1045534
1658	7	1045541
1659	3	1045544
1660	3	1045547
1661	4	1045551
1662	9	1045560
1663	2	1045562
1664	8	1045570
1665	6	1045576
1666	3	1045579
1667	5	1045584
1668	4	1045588
1669	5	1045593
1670	10	1045603
1671	7	1045610
1672	7	1045617
1673	8	1045625
1674	5	1045630
1675	4	1045634
